Date,Open,High,Low,Close
2024-02-12,17.562,17.562,17.562,17.562
2024-02-13,17.562,17.562,17.562,17.562
2024-02-14,17.562,17.562,17.562,17.562
2024-02-15,17.562,17.562,17.453,17.453
2024-02-16,17.453,17.453,17.453,17.453
2024-02-19,17.453,17.453,17.453,17.453
2024-02-20,17.453,17.453,17.453,17.453
2024-02-21,17.453,17.464,17.453,17.464
2024-02-22,17.464,18.553,17.464,18.553
2024-02-23,18.553,18.553,18.553,18.553
2024-02-26,18.553,18.553,18.553,18.553
2024-02-27,18.553,18.554,18.553,18.554
2024-02-28,18.554,18.554,18.39,18.39
2024-02-29,18.39,18.39,18.39,18.39
2024-03-01,18.39,18.39,18.39,18.39
2024-03-04,18.39,18.39,18.39,18.39
2024-03-05,18.39,18.39,18.39,18.39
2024-03-06,18.39,18.663,18.39,18.663
2024-03-07,18.663,18.948,18.663,18.948
2024-03-08,18.947,19.496,18.947,19.496
2024-03-11,19.495,19.496,19.495,19.496
2024-03-12,19.495,19.496,19.495,19.496
